description,purchase_price,sold_price,tax,shipping_cost,profit,amount_due_to_customer,net_profit,roi,date_sold,notes
American Girl Doll Camper,0.00,230.76,14.50,16.64,174.40,122.08,52.32,0,2022-10-13,J&S - Allie
American Girl Doll Bitty Baby Boy Outfit,0.00,29.21,2.66,4.27,15.91,14.06,1.85,0,2022-10-12,J&S (Allie or Shelby)
American Girl Doll Airplane Gate,0.00,70.95,4.60,18.40,32.89,30.12,2.77,0,2022-10-11,J&S (Allie or Shelby)
Coors Light Bottle Tin Sign,0.00,54.25,3.55,6.75,37.83,29.28,8.55,0,2022-10-26,Jeremy
Bud Black Crown Tin Sign,0.00,28.53,1.93,6.60,7.76,10.86,-3.10,0,2022-10-29,Jeremy
Coors Light Open Neon Sign,0.00,83.74,4.74,27.00,37.72,31.34,6.38,0,2022-11-03,Jeremy
Budweiser Mirror MLB 1997 Mirror Sign,0.00,129.98,8.08,25.81,68.75,61.13,7.63,0,2022-11-05,Jeremy
Deadmarsh AVS Jeresy,0.00,280.83,21.28,7.78,193.06,163.22,29.84,0,2022-11-09,Jeff/Stacey
Vintage 1996 Bud Fresh Taste Mirror,0.00,153.47,12.67,39.06,69.37,64.06,5.31,0,2022-11-08,Jeremy
Duck Mallard Hand Painted,0.00,31.96,2.16,6.55,16.30,14.61,1.69,0,2022-11-19,Jeff/Stacey
Bud Light Beer Broncos Neon Light,0.00,120.47,5.42,29.71,72.03,50.42,21.61,0,2022-11-17,Jeremy
CorningWare Quart Casserole w/Lid,0.00,35.42,1.42,9.29,17.04,17.04,0.00,0,2022-11-14,Megan
Pyrex,0.00,61.20,4.85,18.76,24.56,24.53,0.00,0,2022-10-10,Megan
Vintage 1998 Bud Classic Beer Mirror,0.00,115.40,0.00,35.45,55.65,50.50,5.16,0,2022-11-25,Jeremy
Christmas Tree Stand,0.00,89.20,9.20,25.05,38.78,33.39,5.39,0,2022-11-22,Stacey
Lot 9 Stetzerizer,0.00,369.05,27.65,16.40,294.81,176.89,117.92,0,2022-11-25,Gary
Record Player,0.00,38.75,2.70,12.75,19.86,13.90,5.96,0,2022-12-07,Stacey
Coors Light Broncos Mirror,0.00,135.80,9.50,21.85,75.90,66.71,9.19,0,2022-12-17,Jeremy
Lot 8 Barbies 1999-2010,0.00,34.60,1.90,9.59,19.07,13.35,5.72,0,2022-12-12,Stacey
American Girl Doll Pom-Poms Outfit,0.00,12.72,0.72,3.98,5.08,4.83,0.25,0,2022-12-15,Stacey
Reader's Digest Family Piano Hits,0.00,21.44,1.32,4.16,11.63,7.96,3.68,0,2022-12-23,D&M
American Girl Doll Coconut Dog + Accessory,0.00,26.70,1.19,4.90,14.76,13.00,1.76,0,2022-12-23,Stacey
Lot of 3 Lego Friends,0.00,82.13,0.00,25.69,39.06,35.55,3.51,0,2022-12-22,Stacey
1977 Readers Digest Best Loved Songbook,0.00,21.55,1.43,4.16,13.76,6.88,6.88,0,2022-12-21,D&M
Vintage Corona Extra Neon Wall Clock,0.00,45.85,3.10,9.59,23.32,20.91,2.41,0,2022-12-31,Jeremy
